titulo,conteudo
(CO) Consulta Correspondência\CO_5349,"COD_TIPO: CO
NUM_ANTDOC: 5349
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: William R. Valentiner
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Congratula-se com Portinari pelos murais (Biblioteca do Congresso), desculpando-se por não poder ir ao almoço em homenagem ao artista.
DATA_INICIO: 1942/01/12"
(CO) Consulta Correspondência\CO_5350,
(CO) Consulta Correspondência\CO_5350,
(CO) Consulta Correspondência\CO_5351,"COD_TIPO: CO
NUM_ANTDOC: 5351
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Jane Himmelein
ONOMÁSTICO: Kathrine S. Hochschild
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Solicita a devolução de um quadro, pertencente à sra. Walter Hochscild, que foi enviado, por engano, junto com as obras de Portinari, para o Rio de Janeiro.
DATA_INICIO: 1941/11/27"
(CO) Consulta Correspondência\CO_5352,
(CO) Consulta Correspondência\CO_5352,
(CO) Consulta Correspondência\CO_5353,"COD_TIPO: CO
NUM_ANTDOC: 5353
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: William R. Valentiner
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Mostra-se encantado com as fotografias dos estudos (para os murais da Biblioteca do Congresso) que Portinari enviou-lhe.
DATA_INICIO: 1941/11/12"
(CO) Consulta Correspondência\CO_5353,
(CO) Consulta Correspondência\CO_5354,
(CO) Consulta Correspondência\CO_5355,"COD_TIPO: CO
NUM_ANTDOC: 5355
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Cartão
REMETENTE: Clidenor de Freitas Santos
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Agradece, em nome do Sanatório Meduna, um quadro que o pintor doou àquela instituição.
DATA_INICIO: 1955/05/18"
(CO) Consulta Correspondência\CO_5355,
(CO) Consulta Correspondência\CO_5356,
(CO) Consulta Correspondência\CO_5357,
(CO) Consulta Correspondência\CO_5357,
(CO) Consulta Correspondência\CO_5358,"COD_TIPO: CO
NUM_ANTDOC: 5358
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Clidenor de Freitas Santos
ONOMÁSTICO: Luís da Câmara Cascudo
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Mostra-se agradecido por saber, através de Luís da Câmara Cascudo, que o artista doará um de seus quadros ao sanatório que dirige. Diz que irá, pessoalmente, receber a doação.
DATA_INICIO: 1954/07/06"
(CO) Consulta Correspondência\CO_5359,"COD_TIPO: CO
NUM_ANTDOC: 5359
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Clidenor de Freitas Santos
ONOMÁSTICO: Luís da Câmara Cascudo
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Refere-se à notícia dada por Luís da Câmara Cascudo (que Portinari iria doar um quadro ao Sanatório Meduna) para avisar a Portinari que está indo para o Rio de Janeiro para encontrá-lo. Diz estar enviando folhetos sobre o sanatório.
DATA_INICIO: 1955/03/30"
(CO) Consulta Correspondência\CO_5360,
(CO) Consulta Correspondência\CO_5361,"COD_TIPO: CO
NUM_ANTDOC: 5361
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: William R. Valentiner
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de telegrama de Portinari, comunicando não ter recebido o cheque para pagamento da obra ""Gado"", adquirida pelo The Detroit Institute of Arts. Diz ter enviado este cheque, um outro no valor de $500 e os documentos de embarque das telas. Informa que o ""Gado"" voltou de uma exposição em Springfield (na realidade, a exposição foi em Pittsfield) e que deverá ser exposto em Detroit.
DATA_INICIO: 1941/07/08"
(CO) Consulta Correspondência\CO_5362,
(CO) Consulta Correspondência\CO_5363,"COD_TIPO: CO
NUM_ANTDOC: 5363
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Paulino Saraiva
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Mostra interesse em editar, no Brasil, o livro ""A selva"", de Ferreira de Castro, ilustrado por Portinari, como na edição portuguesa. Deseja saber as condições do artista.
DATA_INICIO: 1958/11/27"
(CO) Consulta Correspondência\CO_5364,"COD_TIPO: CO
NUM_ANTDOC: 5364
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Paulino Saraiva
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de carta de Portinari. Explica que a editora pretende lançar uma edição brasileira do livro ""A selva"", reproduzindo as mesmas ilustrações do original português. Diz não fazer objeção que o artista examine a prova de uma ilustração, garantindo um bom trabalho.
DATA_INICIO: 1958/12/18"
(CO) Consulta Correspondência\CO_5365,
(CO) Consulta Correspondência\CO_5366,"COD_TIPO: CO
NUM_ANTDOC: 5366
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: William R. Valentiner
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comenta que a obra de Portinari, ""Gado"", de propriedade do Detroit Institute of Arts, acabou de voltar de uma exposição itinerante, que obteve grande sucesso, e já foi solicitada por um museu de Pittsfield, Massachussets. Presta contas a Portinari, nomeando obras vendidas, obras enviadas ao Museum of Modern Art e obras enviadas à Marie Harriman Gallery. Diz estar enviando, também, uma lista (anexa) das obras que sobraram e que serão devolvidas a ele, Portinari. Informa que houve apenas um pequenino estrago em obra, mas que ele sabe que Portinari prefere restaurar, ele mesmo.
DATA_INICIO: 1941/04/17"
(CO) Consulta Correspondência\CO_5366,
(CO) Consulta Correspondência\CO_5367,"COD_TIPO: CO
NUM_ANTDOC: 5367
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: William R. Valentiner
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de carta, solicitando que Portinari envie-lhe fotos da Capelinha da ""Nonna"" (que o pintor conta estar construindo e decorando), assim que estiver pronta. Mostra-se satisfeito porque a tela que adquiriu de Portinari encontra-se reproduzida no livro ""Portinari, his life and art"". Diz achar uma boa idéia que Portinari tenha como representante, em Nova York, a Marie Harriman Gallery.
DATA_INICIO: 1941/04/04"
(CO) Consulta Correspondência\CO_5368,"COD_TIPO: CO
NUM_ANTDOC: 5368
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: William R. Valentiner
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Mostra-se satisfeito (e grato a Portinari por ter feito um preço baixo) com o fato do Detroit Institute of Arts ter adquirido a obra ""Gado"". Diz que a obra foi emprestada para exposições. Agradece as litografias dadas por Portinari. Informa do interesse de outros museus americanos em apresentar mostra dos trabalhos do pintor. Trata de assuntos alfandegários e informa estar enviando o cheque para pagamento da obra ""Gado"".
DATA_INICIO: 1940/12/05"
(CO) Consulta Correspondência\CO_5368,
(CO) Consulta Correspondência\CO_5369,
(CO) Consulta Correspondência\CO_5370,
